Stock,Model Name 0,Accuracy 0,Precision 0,Model Name 1,Accuracy 1,Precision 1
MU,MLPClassifier,0.5090159711488923,0.6804123711340206,LogisticRegression,0.5388974755280783,0.5882352941176471
UPS,MLPClassifier,0.5296239052035033,0.5105386416861827,LogisticRegression,0.5620814013395157,0.55
IQV,MLPClassifier,0.5113533151680291,0.6153846153846154,LogisticRegression,0.5749318801089919,0.5811965811965812
HST,MLPClassifier,0.44513137557959814,0.4386094674556213,LogisticRegression,0.5414734672849046,0.6567164179104478
PPG,MLPClassifier,0.5615662029881504,0.5523809523809524,LogisticRegression,0.5574446161772282,0.5195007800312013
TMUS,MLPClassifier,0.5277615429573349,0.5229202037351444,LogisticRegression,0.548801870251315,0.5644171779141104
FE,MLPClassifier,0.506439979392066,0.5375586854460094,LogisticRegression,0.5455950540958269,0.5820668693009119
MOS,MLPClassifier,0.49562081401339514,0.4892205638474295,LogisticRegression,0.5574446161772282,0.5514223194748359
CL,MLPClassifier,0.5548686244204019,0.543010752688172,LogisticRegression,0.5620814013395157,0.5395189003436426
FTV,MLPClassifier,0.5402298850574713,0.5721649484536082,LogisticRegression,0.5708812260536399,0.6625
